schema_version,run_id,suite,grammar_id,grammar_description,parser,case_id,size_label,parameter_name,parameter_value,token_count,input_tokens,input_sha256,timeout_seconds,status,outcome,accepted,ambiguity,tree_present,elapsed_ns,wall_elapsed_ns,exit_code,error_kind,detail
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n037,n037,n,37,37,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,b26448b546ae7e5bdd674af8247e59052302dbaefba9b9466382f96d0546b77a,60.0,ok,accept,true,unique,true,90837,225935,,,
1,20260726T135725.806593Z,earley,cfg1,Ambiguous binary concatenation: S → S S | a,costar,earley.cfg1.n061,n061,n,61,61,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,8b72598a941c6c337740fe03485056c52ff6ea510c78629e8029d2b497447e93,60.0,ok,parser_error,unknown,unknown,false,3099,97343,,left_recursion,PredictionError (SpLeftRecursion 0)
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n039,n039,n,39,39,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,18eb99b1deb5a8851590d9f68f7f327bf8a6ad1f6de24b78842bce7ede036532,60.0,ok,accept,true,unique,true,91075,166102,,,
1,20260726T135725.806593Z,earley,cfg1,Ambiguous binary concatenation: S → S S | a,costar,earley.cfg1.n063,n063,n,63,63,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,bd61fffc8dc55a105796ce4395d2822c95221106e3dce37912b244042a801b52,60.0,ok,parser_error,unknown,unknown,false,953,141567,,left_recursion,PredictionError (SpLeftRecursion 0)
1,20260726T135725.806593Z,earley,cfg1,Ambiguous binary concatenation: S → S S | a,costar,earley.cfg1.n065,n065,n,65,65,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,32db1b66466ec271199a28a886eab9eef6f72a88d1dd49de6c67a73925842bfa,60.0,ok,parser_error,unknown,unknown,false,953,105980,,left_recursion,PredictionError (SpLeftRecursion 0)
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n041,n041,n,41,41,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,5b8435430a4e0f3739618b616494cef52d305f069f4f8f145cd40257d5eb8ca2,60.0,ok,accept,true,unique,true,102996,233158,,,
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n043,n043,n,43,43,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,d578dc3affc8d9ac05571b77cd6aa8bb3e86c14a13d0ca1cbd18741b0eb84a0d,60.0,ok,accept,true,unique,true,87022,168136,,,
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n045,n045,n,45,45,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,95a07021a688c4b629f8896d95faeb2557e8b2db62a670f72409a59a6d2ed69d,60.0,ok,accept,true,unique,true,95844,260339,,,
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n047,n047,n,47,47,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,0a227f109e85e841c1599966769c16123edf77b848a8c2ce018c8b66763a1759,60.0,ok,accept,true,unique,true,98943,390585,,,
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n049,n049,n,49,49,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,99e8c0fe4c88f0445b7bdd1ddd8903d345647bb315228d3ed9b8e3f9a1453067,60.0,ok,accept,true,unique,true,123977,180911,,,
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n051,n051,n,51,51,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,08f26910e932063059fae5c479867d6997cf56d64a6ad0363853dd6848e5a131,60.0,ok,accept,true,unique,true,79870,136156,,,
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n053,n053,n,53,53,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,9a57ed48fdc55fce48079815c33dec4ee1dfb5e7c9acf3ce1ae1102961759834,60.0,ok,accept,true,unique,true,160932,222950,,,
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n055,n055,n,55,55,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,397471ff60216f6a8bae3bf00d4f76e8643bb5dac774582749fc24ef11816b24,60.0,ok,accept,true,unique,true,32186,79830,,,
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n057,n057,n,57,57,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,b6388e1e8f6c10ccc2277fad64251a43a039604b11b2e3c9e3b9c331e606dc3a,60.0,ok,accept,true,unique,true,30994,73929,,,
1,20260726T135725.806593Z,earley,cfg2,Right-recursive: S → a S | a,costar,earley.cfg2.n059,n059,n,59,59,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,9e271998808c273754c2be85eeb5ef9477ebdfddc4375a4f82ed6e8d64734550,60.0,ok,accept,true,unique,true,31948,75041,,,
