schema_version,run_id,suite,grammar_id,parser,case_id,metric,value
1,20260726T135725.806593Z,classical,A1,lean,classical.A1.large,successful_ends,33
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n023,cached_endpoints,1124
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n023,memo_entries,852
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n023,memo_tags,4
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n023,representative_tree_nodes,12689
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n023,successful_ends,23
1,20260726T135725.806593Z,classical,A1,earley,classical.A1.small,chart_items,42
1,20260726T135725.806593Z,classical,A1,earley,classical.A1.small,pointers,42
1,20260726T135725.806593Z,classical,A1,earley,classical.A1.medium,chart_items,252
1,20260726T135725.806593Z,classical,A1,earley,classical.A1.medium,pointers,294
1,20260726T135725.806593Z,classical,A1,earley,classical.A1.large,chart_items,2532
1,20260726T135725.806593Z,classical,A1,earley,classical.A1.large,pointers,3462
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n025,cached_endpoints,7145
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n025,memo_entries,651
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n025,memo_tags,1
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n025,representative_tree_nodes,179580
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n025,successful_ends,25
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n025,cached_endpoints,1322
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n025,memo_entries,1001
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n025,memo_tags,4
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n025,representative_tree_nodes,15818
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n025,successful_ends,25
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n027,cached_endpoints,1536
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n027,memo_entries,1162
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n027,memo_tags,4
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n027,representative_tree_nodes,19415
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n027,successful_ends,27
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n027,cached_endpoints,9025
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n027,memo_entries,757
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n027,memo_tags,1
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n027,representative_tree_nodes,244796
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n027,successful_ends,27
1,20260726T135725.806593Z,classical,C1,lean,classical.C1.large,cached_endpoints,33024
1,20260726T135725.806593Z,classical,C1,lean,classical.C1.large,memo_entries,512
1,20260726T135725.806593Z,classical,C1,lean,classical.C1.large,memo_tags,1
1,20260726T135725.806593Z,classical,C1,lean,classical.C1.large,representative_tree_nodes,4334655
1,20260726T135725.806593Z,classical,C1,lean,classical.C1.large,successful_ends,129
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n029,cached_endpoints,1766
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n029,memo_entries,1335
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n029,memo_tags,4
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n029,representative_tree_nodes,23512
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n029,successful_ends,29
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n029,cached_endpoints,11213
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n029,memo_entries,871
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n029,memo_tags,1
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n029,representative_tree_nodes,326540
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n029,successful_ends,29
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n031,cached_endpoints,2012
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n031,memo_entries,1520
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n031,memo_tags,4
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n031,representative_tree_nodes,28141
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n031,successful_ends,31
